,image ID,total,galaxy,cluster,something else,red,blue,impossible,fluffy,bright,no core,bright core,bulge,round,elliptical,disturbed,dense,fuzzy,clumpy,scattered light,small star,nothing,something else entirely,RA,DEC
220,UDGcand_68_insp.png,4,1,1,2,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,55.5466537476,-35.4432411194
221,UDGcand_112_insp.png,4,4,0,0,4,0,0,2,2,0,2,2,3,1,0,3,1,0,0,0,0,0,55.5839080811,-35.9325065613
222,UDGcand_385_insp.png,9,9,0,0,2,4,3,3,6,0,8,1,4,1,4,6,2,1,0,0,0,0,55.6495475769,-36.4924850464
223,UDGcand_355_insp.png,11,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,55.6556053162,-36.3287315369
224,UDGcand_390_insp.png,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0935096741,-36.0567932129
225,UDGcand_119_insp.png,7,2,5,0,2,0,0,0,2,0,1,1,2,0,0,2,0,0,0,0,0,0,55.6109962463,-35.6702804565
226,UDGcand_186_insp.png,2,2,0,0,0,2,0,1,1,0,0,2,1,1,0,1,1,0,0,0,0,0,56.081703186,-35.0564613342
227,UDGcand_96_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.397518158,-35.4389038086
228,UDGcand_360_insp.png,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,55.9163475037,-36.8839912415
229,UDGcand_185_insp.png,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56.4320373535,-35.2689437866
230,UDGcand_35_insp.png,5,1,4,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,56.1261634827,-35.4826431274
231,UDGcand_104_insp.png,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3374404907,-35.6133575439
232,UDGcand_1_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.448928833,-35.0604248047
233,UDGcand_161_insp.png,5,2,3,0,0,2,0,2,0,2,0,0,2,0,0,1,1,0,0,0,0,0,56.3894805908,-35.9395980835
234,UDGcand_330_insp.png,7,7,0,0,7,0,0,1,6,0,6,1,3,4,0,6,1,0,0,0,0,0,49.8115653992,-36.852191925
235,UDGcand_150_insp.png,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4224128723,-35.5257492065
236,UDGcand_124_insp.png,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1646194458,-35.6987228394
237,UDGcand_169_insp.png,4,4,0,0,0,3,1,2,2,1,0,3,0,1,3,0,2,2,0,0,0,0,55.2946624756,-35.9243392944
238,UDGcand_289_insp.png,10,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,49.8569107056,-36.5845909119
239,UDGcand_160_insp.png,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.7293319702,-35.8453903198
240,UDGcand_228_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.8488044739,-35.0156784058
241,UDGcand_66_insp.png,4,4,0,0,0,4,0,3,1,0,2,2,0,3,1,2,2,0,0,0,0,0,55.8809738159,-35.0659637451
242,UDGcand_391_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6094551086,-36.6886787415
